"d","h","v"
0.691666666666667,70,10.3
0.716666666666667,65,10.3
0.733333333333333,63,10.2
0.875,72,16.4
0.891666666666667,81,18.8
0.9,83,19.7
0.916666666666667,66,15.6
0.916666666666667,75,18.2
0.925,80,22.6
0.933333333333333,75,19.9
0.941666666666667,79,24.2
0.95,76,21
0.95,76,21.4
0.975,69,21.3
1,75,19.1
1.075,74,22.2
1.075,85,33.8
1.10833333333333,86,27.4
1.14166666666667,71,25.7
1.15,64,24.9
1.16666666666667,78,34.5
1.18333333333333,80,31.7
1.20833333333333,74,36.3
1.33333333333333,72,38.3
1.35833333333333,77,42.6
1.44166666666667,81,55.4
1.45833333333333,82,55.7
1.49166666666667,80,58.3
1.5,80,51.5
1.5,80,51
1.71666666666667,87,77
